"slug";"name";"website";"country";"city";"ror";"lat";"lon";"type";"is_tenant";"software_count";"project_count";"logo"
"heidelberg-university";"Heidelberg University";"http://www.uni-heidelberg.de/index_e.html";"Germany";"Heidelberg";"https://ror.org/038t36y30";49.40768;8.69079;"Education";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=cccf662a37caefb4c3dcb9cbf0047e86f6f291cc"
"eindhoven-university-of-technology";"Eindhoven University of Technology";"https://www.tue.nl/en/";"Netherlands";"Eindhoven";"https://ror.org/02c2kyt77";51.44083;5.47778;"Education";"no";10;12;"https://research-software-directory.org/image/rpc/get_image?uid=1c2447e76482f0708c80db03649a6148c5521206"
"eli-lilly-united-states";"Eli Lilly (United States)";"http://www.lilly.com/";"United States";"Indianapolis";"https://ror.org/01qat3289";39.76838;-86.15804;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=3cdf1f0600529a71fdbd448d829ed712ab68c4bd"
"health-holland";"Health Holland";"https://www.health-holland.com/";"Netherlands";"The Hague";"https://ror.org/056cwr036";52.07667;4.29861;"Healthcare";"no";0;5;"https://research-software-directory.org/image/rpc/get_image?uid=306acbcabca68094b7f8403742d0cd4f47b6efaa"
"uni-research-norway";"Uni Research (Norway)";"http://uni.no/en/";"Norway";"Bergen";"https://ror.org/016tr2j79";60.384377;5.333241;"Company";"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=ce5ceb42cc8f3d7d416f4215db63480eb3bf1d33"
"tno";"TNO";"http://www.tno.nl/";"Netherlands";"Delft";"https://ror.org/01bnjb948";52.00667;4.35556;"Nonprofit";"no";1;6;"https://research-software-directory.org/image/rpc/get_image?uid=ce331ac98111c4f676780c3e6b9ed252042a3c60"
"odissei";"ODISSEI";"https://odissei-data.nl/en/";"Netherlands";"Rotterdam";"https://ror.org/03m8v6t10";51.915855;4.52618;"Facility";"no";3;13;"https://research-software-directory.org/image/rpc/get_image?uid=e216fcf8d07980eaba1ea328c3f8fb5b4f17c61e"
"integrated-carbon-observation-system";"Integrated Carbon Observation System";"https://www.icos-ri.eu/";"Finland";"Helsinki";"https://ror.org/01d0fc168";60.204638;24.961622;"Other";"yes";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=f8df04b45421ae010f29ad424d9d142daf3c80d6"
"imperial-college-london";"Imperial College London";"http://www.imperial.ac.uk";"United Kingdom";"London";"https://ror.org/041kmwe10";51.50853;-0.12574;"Education";"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=03e09e92184d301f281da70a6cebb9ed93c78e50"
"potree";"Potree";"http://potree.org";"International";;;;;;"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=69ad71e03f6bf70ee59f2ac3f52b9f0038caef7a"
"oci-nitrogen";"OCI Nitrogen";"http://ocinitrogen.com/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=4b6ca5e943bded5a89b0ae5c6a41f1f799d4aaf2"
"cybera";"Cybera";"https://www.cybera.ca/";"Canada";;;;;;"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=f220ed3a6de1f7280109955cf1eff6f33f735015"
"university-of-manitoba";"University of Manitoba";"http://umanitoba.ca/";"Canada";"Winnipeg";"https://ror.org/02gfys938";49.8844;-97.14704;"Education";"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=e236ceca276594d63a999bd307ab2f94cac73aef"
"foresight-intelligence-johannes-gabriel-und-martin-frohlich-gbr";"Foresight Intelligence Johannes Gabriel und Martin Fröhlich GbR";"https://www.foresightintelligence.de/";"Germany";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=6d6749000d968e5364c4b0999ddcbad692d6e34e"
"elixir";"ELIXIR";"https://elixir-europe.org";"United Kingdom";"Hinxton";"https://ror.org/044rwnt51";52.08529;0.18198;"Other";"no";3;1;"https://research-software-directory.org/image/rpc/get_image?uid=6fb18c1646fc4ce1aff474dfe2bda0696811d29e"
"ku-leuven";"KU Leuven";"http://www.kuleuven.be/english";"Belgium";"Leuven";"https://ror.org/05f950310";50.87959;4.70093;"Education";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=920d7e85650a8ce33dd32db8464cce8484cb5215"
"nanyang-technical-university";"Nanyang Technical University";"http://www.ntu.edu.sg";"Singapore";"Singapore";"https://ror.org/02e7b5302";1.28967;103.85007;"Education";"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=3695eaa3afac89b908fc143d8a0c32001c3bfa57"
"philips";"Philips";;"Netherlands";"Amsterdam";"https://ror.org/02p2bgp27";52.37403;4.88969;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=f3e5e1b31fe5dba544351a5ca43ff70958bb3edf"
"campussea-cooperative";"Campus@Sea Cooperative";"https://www.campusatsea.nl/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d74d11f3e71fc3ff851290c9e010140d069a4895"
"scottish-association-for-marine-science";"Scottish Association For Marine Science";"http://www.sams.ac.uk/";"United Kingdom";"Oban";"https://ror.org/04ke6ht85";56.41535;-5.47184;"Facility";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=52c522d7435664406209bd81b0f3c0cefc10df37"
"swi-prolog-solutions-bv";"SWI-Prolog Solutions b.v.";"http://swi-prolog.com/about.html";"Netherlands";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=8ca7ebe8f045099af1a35f3da0ec0208755d917a"
"forschungszentrum-julich";"Forschungszentrum Jülich";"https://www.fz-juelich.de";"Germany";"Jülich";"https://ror.org/02nv7yv05";50.92149;6.36267;"Facility";"no";3;1;"https://research-software-directory.org/image/rpc/get_image?uid=83fbcb1ec710fc8373a57154655afe89e6f712af"
"meteo-france";"Météo-France";"http://www.meteofrance.com/accueil";"France";"Toulouse";"https://ror.org/0233st365";43.60426;1.44367;"Other";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=ba2c7fcafd2f6c13bab2bc977a8c930138cabddd"
"piedmont-epidemiological-service-sepi";"Piedmont Epidemiological Service (SEPI)";"https://www.epi.piemonte.it/";"Italy";;;;;;"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=963c0dba759c801e3ebfdef378eaefb743de6663"
"university-of-cantabria";"University of Cantabria";"http://web.unican.es/";"Spain";"Santander";"https://ror.org/046ffzj20";43.46472;-3.80444;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=47ae15aec092ab2158fde6ef78bfd4500e6f2279"
"stockholm-university";"Stockholm University";"https://www.su.se";"Sweden";"Stockholm";"https://ror.org/05f0yaq80";59.32938;18.06871;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=146ca9f6487f5c77627050caee1d0753014e59c4"
"hesso-university-of-applied-sciences-and-arts";"HES.SO University of Applied Sciences and Arts";;"Switzerland";"Delémont";"https://ror.org/01xkakk17";47.36493;7.34453;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=b8ae7ceb0d5cc99f2cb7c021d5574b507c7a1358"
"research-institute-of-the-mcgill-university-health-center";"Research Institute of the McGill University Health Center";"https://muhc.ca/research";"Canada";;;;;;"no";3;0;"https://research-software-directory.org/image/rpc/get_image?uid=ea0066a361f0558be83bfcf3eb728ea5540795b1"
"ing-bank";"ING Bank";"http://www.ing.com/en.htm";"Netherlands";"Amsterdam";"https://ror.org/059et9981";52.350636;4.879307;"Other";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=1b546d0f6737c25e946bc05a8fd7082e213a81c2"
"clearpeaks";"ClearPeaks";"https://www.clearpeaks.com";"Spain";;;;;;"no";0;0;
"inmark";"INMARK";;"Spain";"Madrid";"https://ror.org/01kkw3w51";40.48964;-3.685813;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=82314a7cff46ce7d30086805ee4241a4a2d57658"
"niod-institute-for-war-holocaust-and-genocide-studies";"NIOD Institute for War, Holocaust and Genocide Studies";"http://www.niod.nl/";"Netherlands";"Amsterdam";"https://ror.org/05he87q93";52.368916;4.886349;"Facility";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=c11e82f849757ab4ae7e05cf6cbc0824d2d25520"
"commit";"COMMIT";"http://www.commit-nl.nl/";"Netherlands";"Amsterdam";"https://ror.org/031m0hs53";52.35458;4.955932;"Other";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=9228166be21bc94267afd14071b9ae47bbe15d55"
"institute-of-geomatics-boku";"Institute of Geomatics, BOKU";"https://www.boku.ac.at/en/rali/geomatics";"Austria";"Vienna";"https://ror.org/057ff4y42";48.20849;16.37208;"Education";"no";1;0;
"city-university-of-london";"City University of London";;"United Kingdom";"London";"https://ror.org/04489at23";51.50853;-0.12574;"Education";"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=dff3e41f4da6380b3ff6a6d6732029a4ec842bd0"
"universite-du-quebec-a-trois-rivieres";"Université du Québec à Trois-Rivières";"http://www.uqtr.ca/";"Canada";"Trois-Rivières";"https://ror.org/02xrw9r68";46.34515;-72.5477;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=08d711f121299ab6d4288432b98eecbc0df93b26"
"university-of-notre-dame";"University of Notre Dame";"https://www.nd.edu/";"United States";"Notre Dame";"https://ror.org/00mkhxb43";41.70019;-86.23793;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=e3173c67cf73a25638e288506544ba63d7cd84f9"
"norwegian-meteorological-institute";"Norwegian Meteorological Institute";"http://met.no";"Norway";"Oslo";"https://ror.org/001n36p86";59.91273;10.74609;"Government";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=15631995fe0fa8c9cec0b372bb9c16ae5f9c302f"
"institute-of-world-economy-and-international-relations";"Institute of World Economy and International Relations";"http://www.imemo.ru/en";"Russia";"Moscow";"https://ror.org/04jqmw447";55.674734;37.561162;"Facility";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d01ec12f2a6f07f43c17fc7bc8a82de00b459d3a"
"monetdb-solutions";"MonetDB Solutions";"http://monetdbsolutions.com/";"Netherlands";;;;;;"no";0;4;"https://research-software-directory.org/image/rpc/get_image?uid=c2a666aa9b6213cff63255ebac096eec0216581f"
"porous-materials-engineering-and-analysis-lab";"Porous Materials Engineering and Analysis Lab ";"http://pmeal.com/";;;;;;;"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=7d54bcac7690cbb74437855e9d23e07ce00207c9"
"surf";"SURF";"https://www.surf.nl/";"Netherlands";"Utrecht";"https://ror.org/009vhk114";52.09083;5.12222;"Other";"no";2;19;"https://research-software-directory.org/image/rpc/get_image?uid=ba2277158879fce775980dab00bd505e70e8cdb2"
